"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goblin,Small,Humanoid,Goblinoid,Neutral Evil,1/4,,,,,,,,,,,x,x,x,,,x,,,,Monster Manual,166,"Lost Mines of Phandelver 58, The Lost Dungeon of Rickedness: Big Rick Energy 39",,Lizardfolk,Medium,Humanoid,Lizardfolk,Neutral,1/2,,,,,,,,,,,x,,,,x,,,,,Monster Manual,204,"Infernal Machine Rebuild 70, Rise of Tiamat Online Supplement 19",,,,,,,,,,
Goblin Alchemist,Small,Humanoid,Goblinoid,Neutral Evil,1/2,,,,,,,,,,,ø,ø,ø,,,ø,,,,Monster a Day Compendium 2.0,66,,,Lizard King/Queen,Medium,Humanoid,Lizardfolk,Chaotic Evil,4,,,,,,,,,,,x,,,,x,,,,,Monster Manual,205,,,,,,,,,,,
Goblin Boss,Small,Humanoid,Goblinoid,Neutral Evil,1,,,,,,,,,,,x,x,x,,,x,,,,Monster Manual,166,,,Lizardfolk Shaman,Medium,Humanoid,Lizardfolk,Neutral,2,,x,,,,,,,,,x,,,,x,,,,,Monster Manual,205,Infernal Machine Rebuild 72,,,,,,,,,,
Goblin Psi Brawler,Small,Aberration,Goblinoid,Any,2,,,,,,,,,,,,,,,,,,,,Phandelver and Below: The Shattered Obelisk,215,,,Werebear,Medium,Humanoid,"Shapechanger, Human",Neutral Good,5,,,,,,,,x,,,x,,x,,,,,,,Monster Manual,208,,,,,,,,,,,
Goblin Psi Commander,Small,Aberration,Goblinoid,Any,4,,x,,,,,,,,,,,,,,,,,,Phandelver and Below: The Shattered Obelisk,216,,,Wereboar,Medium,Humanoid,"Shapechanger, Human",Neutral Evil,4,,,,,,,,,,,x,x,x,,,,,,,Monster Manual,209,,,,,,,,,,,
Goblin Ritualist,Small,Humanoid,Goblinoid,Neutral Evil,1/2,,x,,,,,,,,,ø,ø,ø,,,ø,,,,Monster a Day Compendium 2.0,66,,,Wererat,Medium,Humanoid,"Shapechanger, Human",Lawful Neutral,2,,,,,,,,,,,x,,,,,,,,,Monster Manual,209,Infernal Machine Rebuild 92,,,,,,,,,,
Gohl (Hydra Cloud),Large,Aberration,,Chaotic Evil,8,,,,,,,,,,,,,,,,x,,,x,Fifth Edition Foes,124,,,Weretiger,Medium,Humanoid,"Shapechanger, Human",Neutral,4,,,,,,,,,,x,x,x,,,,,,,,Monster Manual,210,,,,,,,,,,,
Gold Dragon Wyrmling,Medium,Dragon,,Lawful Good,3,,,,,,,,,,,x,x,,,,,,,,Monster Manual,115,,,Werewolf,Medium,Humanoid,"Shapechanger, Human",Chaotic Evil,3,,,,,,,,,,,x,,x,,,,,,,Monster Manual,211,,,,,,,,,,,
Gold-Forged Sentinel,Large,Construct,,Unaligned,5,,,,,,,,,,,,,,x,,,,ø,,Mythic Odysseys of Theros,211,,,Magmin,Small,Elemental,,Chaotic Neutral,1/2,,,,,,,,,,,,,,,,,,,ø,Monster Manual,212,,,,,,,,,,,
Golden Cat,Tiny,Beast,,Unaligned,0,,,,,,,,,x,,x,x,x,,,,,x,,Fifth Edition Foes,125,,,Manticore,Large,Monstrosity,,Lawful Neutral,3,,,,,,,,x,x,,,x,x,x,,,,,,Monster Manual,213,,,,,,,,,,,
Golgari Shaman,Medium,Humanoid,Elf,Neutral Evil,5,,x,,,,,,,,,,,,,ø,ø,,ø,,Guildmaster's Guide to Ravnica,236,,,Medusa,Medium,Monstrosity,,Lawful Neutral,6,,,,,,,,,,x,,,,,,,,,,Monster Manual,214,Infernal Machine Rebuild 73,,,,,,,,,,
Goliath Giant-Kin,Medium,Humanoid,,Any,3,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,155,,,Dust Mephit,Small,Elemental,,Neutral Evil,1/2,,x,,,,,,,,x,,,,,,,,,,Monster Manual,215,,,,,,,,,,,
Goliath Longlegs,Gargantuan,Monstrosity,,Unaligned,7,,,,,,,,,,,x,,,,,,,,,Creature Codex,206,,,Ice Mephit,Small,Elemental,,Neutral Evil,1/2,,x,,,,,,x,,,,,,,,,,,,Monster Manual,215,,,,,,,,,,,
Goliath Warrior,Medium,Humanoid,Goliath,Any,3,,,,,,,,ø,,,,,,x,,,,,,Icewind Dale: Rime of the Frostmaiden,292,,,Magma Mephit,Small,Elemental,,Neutral Evil,1/2,,x,,,,,,,,,,,,,,x,,,,Monster Manual,216,,,,,,,,,,,
Goliath Werebear,Medium,Humanoid,"Goliath, shapechanger",Neutral Good,8,,,,,,,,ø,,,,,,x,,,,,,Icewind Dale: Rime of the Frostmaiden,293,,,Mud Mephit,Small,Elemental,,Neutral Evil,1/4,,,,,,,,,,,,,,,x,,,,,Monster Manual,216,,,,,,,,,,,
Gorao-Ka,Tiny,Fey,Kami,Neutral Good,1/8,,,,,,,,,,,,x,,,,,,x,,Tome of Beasts 2,221,,,Smoke Mephit,Small,Elemental,,Neutral Evil,1/4,,x,,,,,,,,,,,,,,,,x,,Monster Manual,217,,,,,,,,,,,
Gorbel,Small,Aberration,,Neutral,1/4,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,130,,,Steam Mephit,Small,Elemental,,Neutral Evil,1/4,,x,,,,,,,,,,,,,,,x,,,Monster Manual,217,,,,,,,,,,,
Goreling,Small,Undead,,Unaligned,1/4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,207,,,Merfolk,Medium,Humanoid,Merfolk,Neutral,1/8,,,,,,,,,x,,,,,,,,x,,,Monster Manual,218,,,,,,,,,,,
Gorgimera,Large,Monstrosity,,Unaligned,7,,,,,,,,,,,,,x,x,,,,,,Fifth Edition Foes,131,,,Merrow,Large,Monstrosity,,Chaotic Evil,2,,,,,,,,,x,,,,,,,,x,,,Monster Manual,219,Rise of Tiamat Online Supplement 19,,,,,,,,,,
Gorgon,Large,Monstrosity,,Unaligned,5,,,,,,,,,,,x,x,x,,,,,,,Monster Manual,171,Rise of Tiamat Online Supplement 17,,Mimic,Medium,Monstrosity,Shapechanger,Neutral,2,,,,,,,,,,,,,,,,x,,x,,Monster Manual,220,"Infernal Machine Rebuild 73, The Lost Dungeon of Rickedness: Big Rick Energy 39",,,,,,,,,,
Gorilla Bear,Medium,Monstrosity,,Unaligned,1,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,132,,,Mind Flayer,Medium,Aberration,,Lawful Neutral,7,,x,,,,,,,,,,,,,,x,,,,Monster Manual,222,,,,,,,,,,,
Goristro,Huge,Fiend,Demon,Chaotic Evil,17,,,,,,,,,,,,,,,,,,,ø,Monster Manual,59,,,Mind Flayer Arcanist,Medium,Aberration,,Lawful Neutral,8,,,,,,,,,,,,,,,,x,,,,Monster Manual,222,Lost Laboratory of Kwalish 45,,,,,,,,,,
Graknork,Gargantuan,Monstrosity,,Unaligned,14,,,,,,,,x,,,,,,,,,,,,Tome of Beasts 2,182,,,Minotaur,Large,Monstrosity,,Chaotic Evil,3,,,,,,,,,,,,,,,,x,,,,Monster Manual,223,,,,,,,,,,,
Grandfather Oak,Huge,Plant,,Chaotic Good,9,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,5,,,Monodrone,Medium,Construct,Modron,Lawful Neutral,1/8,,,,,,,,,,,,,,,,,,,ø,Monster Manual,224,,,,,,,,,,,
Granite Juggernaut,Large,Construct,,Unaligned,12,,,,,,,,,,,,,,,,,,,,Vecna: Eve of Ruin,221,,,Duodrone,Medium,Construct,Modron,Lawful Neutral,1/4,,,,,,,,,,,,,,,,,,,ø,Monster Manual,225,,,,,,,,,,,
Grave Behemoth,Huge,Undead,,Neutral Evil,10,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,208,,,Tridrone,Medium,Construct,Modron,Lawful Neutral,1/2,,,,,,,,,,,,,,,,,,,ø,Monster Manual,225,,,,,,,,,,,
Grave Sage,Medium,Monstrosity,,Chaotic Evil,11,,x,,,,,,,,,,,,ø,,x,,x,x,Sandy Petersen's Cthulhu Mythos,327,,,Pentadrone,Large,Construct,Modron,Lawful Neutral,2,,,,,,,,,,,,,,,,,,,ø,Monster Manual,226,,,,,,,,,,,
Grave Titan,Huge,Undead,,Neutral Evil,10,,,,,,,,,,,,,,,,,,ø,,Monster a Day Compendium 2.0,68,,,Quadrone,Medium,Construct,Modron,Lawful Neutral,1,,,,,,,,,,,,,,,,,,,ø,Monster Manual,226,,,,,,,,,,,
Gravecrawler,Medium,Undead,,Neutral Evil,1,,,,,,,,,,,,,,,,ø,,ø,,Monster a Day Compendium 2.0,69,,,Mummy,Medium,Undead,Mummy,Lawful Neutral,3,,,,,,,,,,x,,,,,,,,,,Monster Manual,228,Rise of Tiamat Online Supplement 20,,,,,,,,,,
Graveslayer,Medium,Humanoid,Dwarf,Any Non-Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,400,,,Mummy Lord,Medium,Undead,Mummy,Lawful Neutral,15,,x,x,,,,,,,x,,,,,,,,,,Monster Manual,229,Rise of Tiamat Online Supplement 20,,,,,,,,,,
Graveyard Dragon,Large,Undead,,Neutral Evil,7,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,,Tome of Beasts 2,183,,,Mummy Lord (in lair),Medium,Undead,Mummy,Lawful Neutral,16,,x,x,x,,,,,,x,,,,,,,,,,Monster Manual,229,,,,,,,,,,,
Gray Nisp,Large,Fey,,Chaotic Neutral,6,,,,,,,,,x,,,,,,x,,x,,,Fifth Edition Foes,133,,,Myconid Sprout,Small,Plant,Myconid,Lawful Neutral,0,,,,,,,,,,,,,,,,x,,,,Monster Manual,230,,,,,,,,,,,
Gray Ooze,Medium,Ooze,,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Monster Manual,243,,,Quaggoth Spore Servant,Medium,Plant,,Unaligned,1,,,,,,,x,,,,,,,,,x,,,,Monster Manual,230,,,,,,,,,,,
Gray Orc,Medium,Humanoid,Orc,Neutral,1/4,,,,,,,,,,,,,x,x,,x,,,,Tome of Beasts 2,284,,,Myconid Adult,Medium,Plant,Myconid,Lawful Neutral,1/2,,,,,,,,,,,,,,,,x,,,,Monster Manual,232,,,,,,,,,,,
Gray Render,Large,Monstrosity,,Chaotic Neutral,12,,,,,,,,,,,x,,x,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,146,,,Myconid Sovereign,Large,Plant,Myconid,Lawful Neutral,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,232,Infernal Machine Rebuild 74,,,,,,,,,,
Gray Render,Large,Monstrosity,,Chaotic Neutral,12,,,,,,,,,,,x,,x,,,,,,,Mordenkainen's Tome of Foes,209,,,Bone Naga,Large,Undead,,Lawful Neutral,4,,x,,,,,,,,,,,,,,x,,,,Monster Manual,233,,,,,,,,,,,
Gray Scavver,Medium,Monstrosity,,Unaligned,1/4,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,49,,,Guardian Naga,Large,Monstrosity,,Lawful Good,10,,x,,,,,,,,x,x,,,,,,,,,Monster Manual,234,,,,,,,,,,,
Gray Slaad,Medium,Aberration,Shapechanger,Chaotic Neutral,9,,x,,,,,,,,,,,,,,,,x,,Monster Manual,277,,,Spirit Naga,Large,Monstrosity,,Chaotic Evil,8,,x,,,,,,,,,,,,,,x,,,,Monster Manual,234,,,,,,,,,,,
Gray Thirster,Medium,Undead,,Neutral Evil,2,,,,,,,,,,ø,,,,,,,,,,Tome of Beasts,238,,,Nightmare,Large,Fiend,,Neutral Evil,3,,,,,,,,,,,,,,,,,,,ø,Monster Manual,235,Infernal Machine Rebuild 76,,,,,,,,,,
Graz'zt,Large,Fiend,demon,Chaotic Evil,24,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen Presents: Monsters of the Multiverse,148,,,Nothic,Medium,Aberration,,Neutral Evil,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,236,"Lost Mines of Phandelver 60, The Lost Dungeon of Rickedness: Big Rick Energy 40",,,,,,,,,,
Graz'zt,Large,Fiend,"Demon, Demon Lord, Shapechanger",Chaotic Evil,24,,x,x,x,x,,,,,,,,,,,,,,ø,Mordenkainen's Tome of Foes,149,Out of the Abyss 241,,Ogre,Large,Giant,,Chaotic Evil,2,,,,,,,,x,x,x,x,x,x,x,x,x,,,,Monster Manual,237,"Lost Mines of Phandelver 60, Rise of Tiamat Online Supplement 21, The Lost Dungeon of Rickedness: Big Rick Energy 41",,,,,,,,,,
Great Gray Owl,Small,Beast,,Unaligned,1/4,,,,,,,,,,,x,,,,,,,,,Tome of Beasts 2,394,,,Oni,Large,Giant,,Lawful Neutral,7,,x,,,,,,,,,x,,,,,,,x,,Monster Manual,239,,,,,,,,,,,
Great Grey Wolf Sif,Large,Beast,,Lawful Good,13,,,,,x,,,,,,ø,ø,,,,,,,,Monster a Day Compendium 2.0,70,,,Black Pudding,Large,Ooze,,Unaligned,4,,,,,,,,,,,,,,,,x,,,,Monster Manual,241,,,,,,,,,,,
Greater Basilisk,Large,Monstrosity,,Neutral Evil,5,,,,,,,,,,x,,,,,,,,,,Fifth Edition Foes,22,,,Gelatinous Cube,Large,Ooze,,Unaligned,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,242,,,,,,,,,,,
Greater Boneneedle,Medium,Beast,,Unaligned,1,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,34,,,Gray Ooze,Medium,Ooze,,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Monster Manual,243,,,,,,,,,,,
Greater Death Dragon,Huge,Undead,,Chaotic Evil,14,,,x,,,,,,,,,,,,,,,,,Dragonlance: Shadow of the Dragon Queen,195,,,Ochre Jelly,Large,Ooze,,Unaligned,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,243,"Lost Mines of Phandelver 60, The Lost Dungeon of Rickedness: Big Rick Energy 40",,,,,,,,,,
Greater Fire Crab,Large,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,,x,Fifth Edition Foes,101,,,Orc,Medium,Humanoid,Orc,Chaotic Evil,1/2,,,,,,,,x,,,x,x,x,x,x,x,,,,Monster Manual,246,"Lost Mines of Phandelver 61, The Lost Dungeon of Rickedness: Big Rick Energy 41",,,,,,,,,,
Greater Ghast of Leng,Large,Aberration,,Chaotic Evil,8,,,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,164,,,Orc War Chief,Medium,Humanoid,Orc,Chaotic Evil,4,,,,,,,,x,,,x,x,x,x,x,x,,,,Monster Manual,246,,,,,,,,,,,
Greater Lunarchidna,Medium,Aberration,,Neutral Evil,4,,x,,,,,,,,,x,,,,,,,,,Tome of Beasts 2,242,,,Orc Eye of Gruumsh,Medium,Humanoid,Orc,Chaotic Evil,2,,x,,,,,,x,,,x,x,x,x,x,x,,,,Monster Manual,247,,,,,,,,,,,
Greater Rakshasa,Medium,Fiend,,Lawful Evil,15,,x,x,x,,,,,,,,,,,,,,x,,Creature Codex,311,,,Orog,Medium,Humanoid,Orc,Chaotic Evil,2,,,,,,,,x,,,x,x,x,x,,x,,,,Monster Manual,247,,,,,,,,,,,
Greater Scrag,Large,Monstrosity,,Chaotic Evil,7,,,,,,,,,x,,,,,,x,,x,,,Creature Codex,322,,,Otyugh,Large,Aberration,,Neutral,5,,,,,,,,,,,,,,,,x,,,,Monster Manual,248,"Infernal Machine Rebuild 76, Rise of Tiamat Online Supplement 21",,,,,,,,,,
Greater Star Spawn Emissary,Huge,Aberration,,Not Provided,21,,,x,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,ø,Van Richten's Guide to Ravenloft,245,,,Owlbear,Large,Monstrosity,,Unaligned,3,,,,,,,,,,,x,,,,,,,,,Monster Manual,249,"Infernal Machine Rebuild 77, Lost Mines of Phandelver 61, The Lost Dungeon of Rickedness: Big Rick Energy 41",,,,,,,,,,
Greater Zombie,Medium,Undead,,Neutral Evil,5,,,,,,,,,,,,,,,ø,ø,,,,Tales from the Yawning Portal,237,Infernal Machine Rebuild 66,,Pegasus,Large,Celestial,,Chaotic Good,2,,,,,,,,,,,x,x,x,,,,,,,Monster Manual,250,,,,,,,,,,,
Greed Swarm,Medium,Construct,Swarm,Unaligned,1/2,,,,,,,,,,,,,,,,,,x,,Tome of Beasts 2,184,,,Peryton,Medium,Monstrosity,,Chaotic Evil,2,,,,,,,,,,,,,x,x,,,,,,Monster Manual,251,,,,,,,,,,,
Green Abishai,Medium,Fiend,devil,Lawful Evil,15,,x,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,40,,,Piercer,Medium,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Monster Manual,252,,,,,,,,,,,
Green Abishai,Medium,Fiend,Devil,Lawful Neutral,15,,x,,,,,,,,,,,,,,,,x,ø,Mordenkainen's Tome of Foes,162,,,Pixie,Tiny,Fey,,Neutral Good,1/4,,x,,,,,,,,,x,,,,,,,,,Monster Manual,253,Infernal Machine Rebuild 77,,,,,,,,,,
Green Abyss Orc,Medium,Humanoid,Orc,Chaotic Evil,1/2,,,,,,,,,,,x,,,,,,,,,Creature Codex,291,,,Pseudodragon,Tiny,Dragon,,Neutral Good,1/4,,,,,,v,,,x,x,x,,x,x,,,,x,,Monster Manual,254,"Infernal Machine Rebuild 78, Player's Handbook 308, Rise of Tiamat Online Supplement 22",,,,,,,,,,
Green Brain,Small,Plant,,Lawful Neutral,1,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,134,,,Purple Worm,Gargantuan,Monstrosity,,Unaligned,15,,,,,,,,,,x,,,,,,x,,,,Monster Manual,255,,,,,,,,,,,
Green Dracolisk,Large,Dragon,,Unaligned,7,,,,,,,,,,,x,,,,,x,,,,Fifth Edition Foes,85,,,Quaggoth,Medium,Humanoid,Quaggoth,Chaotic Neutral,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,256,,,,,,,,,,,
Green Dragon Wyrmling,Medium,Dragon,,Lawful Neutral,2,,,,,,,,,,,x,,,,,,,,,Monster Manual,95,,,Quaggoth Thonot,Medium,Humanoid,Quaggoth,Chaotic Neutral,3,,x,,,,,,,,,,,,,,x,,,,Monster Manual,256,,,,,,,,,,,
Green Guardian Gargoyle,Medium,Monstrosity,,Chaotic Evil,1,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,115,,,Rakshasa,Medium,Fiend,,Lawful Neutral,13,,x,,,,,,,,,,,,,,,,x,,Monster Manual,257,,,,,,,,,,,
Green Hag,Medium,Fey,Hag,Neutral Evil,3,,x,,,,,,,,,x,,x,,x,,,,,Monster Manual,177,Infernal Machine Rebuild 67,,Remorhaz,Huge,Monstrosity,,Unaligned,11,,,,,,,,x,,,,,,,,,,,,Monster Manual,258,,,,,,,,,,,
Green Knight of the Woods,Medium,Fey,,Lawful Neutral,6,,,,,,,,,,,x,,,,,,,,,Creature Codex,209,,,Young Remorhaz,Large,Monstrosity,,Unaligned,5,,,,,,,,x,,,,,,,,,,,,Monster Manual,258,,,,,,,,,,,
Green Slaad,Large,Aberration,Shapechanger,Chaotic Neutral,8,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,277,,,Revenant,Medium,Undead,,Neutral,5,,,,,,,,x,,x,x,,x,,x,,,x,,Monster Manual,259,,,,,,,,,,,
Grell,Medium,Aberration,,Neutral Evil,3,,,,,,,,,,,,,,,,x,,,,Monster Manual,172,Infernal Machine Rebuild 68,,Roc,Gargantuan,Monstrosity,,Unaligned,11,,,,,,,,x,x,x,,,x,x,,,,,,Monster Manual,260,,,,,,,,,,,
Grell Psychic,Medium,Aberration,,Chaotic Evil,4,,x,,,,,,,,,,,,,,,,,,Phandelver and Below: The Shattered Obelisk,145,,,Roper,Large,Monstrosity,,Neutral Evil,5,,,,,,,,,,,,,,,,x,,,,Monster Manual,261,,,,,,,,,,,
Gremishka,Tiny,Monstrosity,,Not Provided,1/8,,,,,,,,,,,,,,,,,,ø,,Van Richten's Guide to Ravenloft,235,,,Rust Monster,Medium,Monstrosity,,Unaligned,1/2,,,,,,,,,,,,,,,,x,,,,Monster Manual,262,,,,,,,,,,,
Gremlin,Small,Beast,,Unaligned,1/2,,,,,,,,,,,,,,,,,,x,,Planeshift: Kaladesh,26,,,Sahuagin,Medium,Humanoid,Sahuagin,Lawful Neutral,1/2,,,,,,,,,x,,,,,,,,x,,,Monster Manual,263,,,,,,,,,,,
Grick,Medium,Monstrosity,,Neutral,2,,,,,,,,,,,x,,,,,x,,,,Monster Manual,173,Lost Mines of Phandelver 58,,Sahuagin Baron,Large,Humanoid,Sahuagin,Lawful Neutral,5,,,,,,,,,x,,,,,,,,x,,,Monster Manual,264,,,,,,,,,,,
Grick Alpha,Large,Monstrosity,,Neutral,7,,,,,,,,,,,x,,,,,x,,,,Monster Manual,173,,,Sahuagin Priestess,Medium,Humanoid,Sahuagin,Lawful Neutral,2,,x,,,,,,,x,,,,,,,,x,,,Monster Manual,264,,,,,,,,,,,
Griffon,Large,Monstrosity,,Unaligned,2,,,,,,,,x,x,,,x,x,x,,,,,,Monster Manual,174,,,Fire Snake,Medium,Elemental,,Neutral Evil,1,,,,,,,,,,,,,,,,x,,,,Monster Manual,265,,,,,,,,,,,
Griffon Cavalry Rider,Medium,Humanoid,Any Race,Any,2,,,,,,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,197,,,Salamander,Large,Elemental,,Neutral Evil,5,,,,,,,,,,,,,,,,x,,,,Monster Manual,266,,,,,,,,,,,
Grim Jester,Medium,Undead,,Chaotic Evil,11,,x,,,,,,,,,,,,,,,,ø,,Tome of Beasts,240,,,Satyr,Medium,Fey,,Chaotic Neutral,1/2,,,,,,,,,,,x,,,,,,,,,Monster Manual,267,Infernal Machine Rebuild 80,,,,,,,,,,
Grimlock,Medium,Humanoid,Grimlock,Neutral Evil,1/4,,,,,,,,,,,,,,,,x,,,,Monster Manual,175,,,Scarecrow,Medium,Construct,,Chaotic Evil,1,,,,,,,,,,,,x,,,,,,,,Monster Manual,268,,,,,,,,,,,
Grimm,Large,Fey,,Neutral Evil,7,,x,,,,,,,,,,,,x,,,,,,Fifth Edition Foes,135,,,Shadow,Medium,Undead,,Chaotic Evil,1/2,,,,,,,,,,,,,,,,x,,x,,Monster Manual,269,Infernal Machine Rebuild 80,,,,,,,,,,
Grimmlet,Tiny,Monstrosity,,Unaligned,1,,x,,,,,,,,,,,x,,,,,,,Tome of Beasts 2,186,,,Shambling Mound,Large,Plant,,Unaligned,5,,,,,,,,,,,x,,,,,,,,,Monster Manual,270,,,,,,,,,,,
Grimmlet Swarm,Large,Monstrosity,Swarm,Unaligned,14,,x,,,,,,,,,,,x,,,,,,,Tome of Beasts 2,187,,,Shield Guardian,Large,Construct,,Unaligned,7,,,,,,,,,,,,,,,,,,x,,Monster Manual,271,,,,,,,,,,,
Grindylow,Medium,Aberration,,Chaotic Evil,1,,,,,,,,,,,,,,,,,x,,,Creature Codex,210,,,Skeleton,Medium,Undead,,Lawful Neutral,1/4,,,,,,,,,,,,,,,,,,x,,Monster Manual,272,"Infernal Machine Rebuild 82, Lost Mines of Phandelver 62, Player's Handbook 310, The Lost Dungeon of Rickedness: Big Rick Energy 42",,,,,,,,,,
Grinning Cat,Large,Fey,,Chaotic Neutral,1,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,156,,,Warhorse Skeleton,Large,Undead,,Lawful Neutral,1/2,,,,,,,,,,,,,,,,,,x,,Monster Manual,272,,,,,,,,,,,
Grippli,Small,Humanoid,,Neutral,1/4,,,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,136,,,Minotaur Skeleton,Large,Undead,,Lawful Neutral,2,,,,,,,,,,,,,,,,x,,,,Monster Manual,273,Infernal Machine Rebuild 74,,,,,,,,,,
Grippli Warrior,Small,Humanoid,Grippli,Not Provided,1/4,,,,,,,,,,,ø,,,,ø,,,,,Candlekeep Mysteries,99,,,Blue Slaad,Large,Aberration,,Chaotic Neutral,7,,,,,,,,,,,,,,,,,,,ø,Monster Manual,276,,,,,,,,,,,
Grisha,Medium,Humanoid,Human,Chaotic Evil,2,,x,,,x,,,,,,,,,,,,,,,Out of the Abyss,232,,,Red Slaad,Large,Aberration,,Chaotic Neutral,5,,,,,,,,,,,,,,,,,,,ø,Monster Manual,276,,,,,,,,,,,
Groff,Large,Plant,,Unaligned,4,,,,,,,,,,,,,,,x,,,,,Strixhaven: A Cirriculum of Chaos,194,,,Slaad Tadpole,Tiny,Aberration,,Chaotic Neutral,1/8,,,,,,,,,,,,,,,,,,,ø,Monster Manual,276,,,,,,,,,,,
Grog Strongjaw,Medium,Humanoid,half-giant,Not Provided,18,,,,,x,,,,,,,,,,,,,,,Tal'Dorei Campaign Setting Reborn,261,,,Gray Slaad,Medium,Aberration,Shapechanger,Chaotic Neutral,9,,x,,,,,,,,,,,,,,,,x,,Monster Manual,277,,,,,,,,,,,
Grove Bear,Medium,Beast,,Unaligned,1/4,,,,,,,,,,,x,,,,,,,,,Tome of Beasts 2,394,,,Green Slaad,Large,Aberration,Shapechanger,Chaotic Neutral,8,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,277,,,,,,,,,,,
Grove Guardian,Large,Fey,,Neutral,5,,x,,,,,,,,,ø,,,,,,,,,Monster a Day Compendium 2.0,71,,,Death Slaad,Medium,Aberration,Shapechanger,Chaotic Evil,10,,x,,,,,,,,,,,,,,,,,ø,Monster Manual,278,,,,,,,,,,,
Grue (type 1),Large,Ooze,,Unaligned,4,,,,,,,,,,,,,,,,x,,,,Fifth Edition Foes,137,,,Specter,Medium,Undead,,Chaotic Evil,1,,,,,,,,,,,,,,,,x,,x,,Monster Manual,279,Rise of Tiamat Online Supplement 22,,,,,,,,,,
Grue (type 2),Medium,Aberration,,Chaotic Evil,2,,,,,,,,,,,x,x,x,,,x,,,,Fifth Edition Foes,138,,,Specter (poltergeist),Medium,Undead,,Chaotic Evil,2,,,,,,,,,,,,,,,,x,,x,,Monster Manual,279,,,,,,,,,,,
Grung,Small,Humanoid,,Any,1/4,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,149,,,Androsphinx,Large,Monstrosity,,Lawful Neutral,17,,x,x,x,,,,,,x,,,,,,,,,,Monster Manual,281,,,,,,,,,,,
Grung,Small,Humanoid,Grung,Lawful Neutral,1/4,,,,,,,,,,,x,,,,,,,,,Volo's Guide to Monsters,156,Tomb of Annihilation 223,,Gynosphinx,Large,Monstrosity,,Lawful Neutral,11,,x,x,x,,,,,,x,,,,,,,,,,Monster Manual,282,,,,,,,,,,,
Grung Elite Warrior,Small,Humanoid,,Any,2,,,,,,,,,,,x,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,150,,,Sprite,Tiny,Fey,,Neutral Good,1/4,,,,,,,,,,,x,,,,,,,,,Monster Manual,283,"Infernal Machine Rebuild 83, Player's Handbook 310",,,,,,,,,,
Grung Elite Warrior,Small,Humanoid,Grung,Lawful Neutral,2,,,,,,,,,,,x,,,,,,,,,Volo's Guide to Monsters,157,Tomb of Annihilation 223,,Stirge,Tiny,Beast,,Unaligned,1/8,,,,,,,,,x,x,x,x,x,x,x,x,,x,,Monster Manual,284,"Infernal Machine Rebuild 83, Lost Mines of Phandelver 62, The Lost Dungeon of Rickedness: Big Rick Energy 43",,,,,,,,,,
